fid,muni_id,muni,is_housing,only_single_family,%_single_family,is_MBTA_community,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhoth,nhmlt,lat,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,hh,incu10,inc1015,inc1520,inc2025,inc2530,inc3035,inc3540,inc4045,inc4550,inc5060,inc6075,i7599,i100125,i125150,i150200,in200o,COI Score
1,35,Boston,1,0,0.0,0,537826,256886,280940,86666,397763,53397,257973,114213,1076,49770,156,7996,13021,93621,98304,41377,24642,17374,8584,3546,2781,125752,85866,28158,7143,3137,925,324,199,259822.0,27338.0,18126.0,11513.0,10520.0,8304.0,8649.0,7270.0,8584.0,6857.0,14333.0,20117.0,26133.0,23193.0,17038.0,21677.0,30170.0,4.179043233526589
2,73,Dedham,1,0,0.0,1,24852,12030,12822,5190,15106,4556,21124,1283,46,648,4,74,307,1366,6337,2674,1482,1349,558,182,92,3336,2763,500,47,18,4,4,0,10326.0,265.0,230.0,381.0,316.0,280.0,385.0,288.0,256.0,230.0,557.0,836.0,1211.0,859.0,843.0,1587.0,1802.0,7.0021731971736525
3,100,Framingham,1,0,86.3575001236447,1,25686,12823,12863,5542,18027,2117,11030,1983,61,1382,14,2943,1534,6739,5523,1910,1567,1124,567,217,138,4452,3273,777,216,106,49,19,12,9047.0,769.0,575.0,302.0,486.0,397.0,491.0,547.0,368.0,268.0,882.0,1108.0,1169.0,722.0,455.0,387.0,121.0,4.442512941053062
4,141,Hudson,1,0,0.0,0,19063,9403,9660,4347,11985,2731,16945,276,13,426,0,250,339,814,5131,2127,1184,1171,430,141,78,2397,1946,378,49,19,4,1,0,7686.0,140.0,176.0,332.0,192.0,200.0,352.0,239.0,226.0,231.0,581.0,634.0,1059.0,786.0,800.0,978.0,760.0,4.911265564402992
5,107,Gloucester,1,0,3.34465474459346,1,28310,13593,14717,5301,18026,4983,26639,196,28,251,16,99,299,782,7385,3439,1783,1367,551,170,75,4848,3987,762,74,16,8,1,0,12480.0,565.0,626.0,706.0,702.0,474.0,464.0,523.0,522.0,384.0,933.0,1146.0,1716.0,1060.0,840.0,941.0,878.0,4.882553468566851
6,136,Holliston,1,0,0.0,1,13461,6642,6819,3608,8237,1616,12562,116,12,330,2,61,133,245,3833,1444,896,1016,366,81,30,1031,854,155,11,7,1,2,1,5278.0,57.0,63.0,157.0,93.0,41.0,146.0,62.0,91.0,130.0,285.0,253.0,603.0,653.0,463.0,871.0,1310.0,7.60023704547578
7,262,Saugus,1,0,0.0,1,26438,12585,13853,5061,16737,4640,23712,510,28,706,1,128,307,1046,7096,2886,1731,1482,653,242,102,3137,2639,433,50,11,2,2,0,10429.0,422.0,518.0,409.0,196.0,403.0,235.0,314.0,418.0,309.0,540.0,956.0,1583.0,1217.0,929.0,1081.0,899.0,5.167326669753855
8,163,Lynn,1,0,38.8049023782738,1,62515,30769,31746,16094,39627,6794,24330,7488,138,5157,28,287,1405,23682,13954,4394,3258,2857,1682,887,876,9226,7753,1205,152,57,36,10,13,22621.0,2872.0,1864.0,1121.0,1127.0,863.0,981.0,1295.0,1089.0,760.0,1407.0,2036.0,2708.0,1715.0,1116.0,1211.0,456.0,1.5870207379520538
9,177,Medway,1,0,0.0,1,12754,6207,6547,3586,7839,1329,11925,124,20,277,1,10,146,251,3443,1140,841,914,381,128,39,991,828,139,20,3,1,0,0,4691.0,96.0,101.0,74.0,140.0,41.0,107.0,166.0,114.0,14.0,183.0,243.0,455.0,726.0,350.0,857.0,1024.0,7.6528040931689345
10,207,Newton,1,0,77.1680474686319,1,26822,12309,14513,5197,17291,4334,20137,846,24,3794,8,134,543,1336,6407,2790,1684,1322,436,124,51,5464,4191,937,213,87,25,7,4,9579.0,251.0,185.0,188.0,226.0,314.0,285.0,204.0,196.0,225.0,433.0,863.0,1089.0,936.0,717.0,1275.0,2192.0,8.803426529646813
11,198,Natick,1,0,92.6628460685157,1,7462,3549,3913,1250,5441,771,5659,245,14,943,2,91,175,333,1712,812,484,305,84,19,8,2009,1636,318,39,13,1,2,0,2700.0,87.0,62.0,41.0,80.0,112.0,123.0,75.0,115.0,56.0,343.0,244.0,300.0,343.0,203.0,216.0,300.0,7.749540777045674
12,208,Norfolk,1,0,0.0,1,8977,4514,4463,2580,5520,877,8618,60,6,119,0,5,71,98,2552,910,583,656,309,70,24,493,378,101,9,2,2,0,1,3149.0,49.0,20.0,61.0,20.0,67.0,47.0,15.0,30.0,81.0,103.0,162.0,271.0,374.0,333.0,443.0,1073.0,7.665785382714622
13,23,Bedford,1,0,0.0,1,12606,6273,6333,3003,7157,2446,10728,239,17,1139,1,9,195,278,3476,1475,792,842,265,75,27,1332,1169,139,12,6,4,0,2,5230.0,112.0,107.0,58.0,72.0,75.0,123.0,88.0,147.0,114.0,248.0,337.0,677.0,351.0,410.0,644.0,1667.0,6.908172181584092
14,264,Scituate,1,0,0.0,1,18133,8689,9444,4560,10459,3114,17277,98,13,132,7,198,217,191,4926,2035,1049,1064,538,177,63,1933,1675,225,19,10,4,0,0,7146.0,178.0,361.0,255.0,75.0,186.0,134.0,179.0,168.0,137.0,339.0,320.0,770.0,608.0,724.0,793.0,1919.0,8.014320200086217
15,284,Stoneham,1,0,0.0,1,21292,10077,11215,4227,13123,3942,19279,327,15,723,4,83,228,633,5586,2363,1360,1206,470,126,61,3322,2823,465,26,7,1,0,0,9241.0,341.0,358.0,163.0,178.0,291.0,233.0,327.0,412.0,249.0,464.0,671.0,1270.0,1042.0,842.0,986.0,1414.0,6.439813449935237
16,285,Stoughton,1,0,87.6513548739784,1,9159,4399,4760,1797,5910,1452,7070,1019,18,261,1,204,219,367,2342,1033,573,467,163,69,37,1597,1309,244,35,7,2,0,0,4292.0,224.0,209.0,162.0,160.0,233.0,200.0,182.0,207.0,226.0,254.0,446.0,646.0,405.0,244.0,255.0,239.0,5.189358408520749
17,2,Acton,1,0,3.39519044960655,1,21137,10425,10712,6097,12892,2148,15989,230,13,3879,3,156,326,541,5761,1961,1434,1655,568,117,26,2043,1716,295,19,10,3,0,0,8628.0,213.0,339.0,165.0,131.0,175.0,121.0,148.0,118.0,119.0,366.0,445.0,689.0,723.0,1059.0,1116.0,2701.0,7.143225440936126
18,305,Wakefield,1,0,1.35775662730308,1,24310,11682,12628,5220,15497,3593,22610,208,21,641,0,26,240,564,6376,2599,1555,1397,602,171,52,3399,2776,529,67,16,8,0,3,10131.0,347.0,258.0,296.0,283.0,210.0,303.0,296.0,283.0,265.0,645.0,949.0,1162.0,1164.0,942.0,1184.0,1544.0,7.2257577793054715
19,307,Walpole,1,0,90.5154437846051,1,5684,2696,2988,1236,3360,1088,5186,116,2,178,0,18,39,145,1453,666,326,278,133,35,15,1088,933,130,17,4,4,0,0,1350.0,0.0,98.0,37.0,49.0,78.0,30.0,34.0,47.0,54.0,84.0,178.0,152.0,121.0,64.0,108.0,216.0,7.816984694244919
